0.71,710.5,269.5,220.5,3.5,5,0.1,1,14.27
0.79,637,343,147,7,5,0.25,2,45.97
0.66,759.5,318.5,220.5,3.5,3,0.1,1,13.72
0.62,808.5,367.5,220.5,3.5,2,0.4,5,16.88
0.76,661.5,416.5,122.5,7,2,0,0,29.79
0.69,735,294,220.5,3.5,2,0.25,3,14.92
0.74,686,245,220.5,3.5,2,0.1,3,13.6
0.62,808.5,367.5,220.5,3.5,3,0.25,4,15.56
0.71,710.5,269.5,220.5,3.5,5,0.1,5,13.89
0.62,808.5,367.5,220.5,3.5,3,0.4,2,17.38
0.86,588,294,147,7,2,0.25,1,33.98
0.69,735,294,220.5,3.5,4,0.4,4,16.9
0.71,710.5,269.5,220.5,3.5,4,0.25,3,15.57
0.82,612.5,318.5,147,7,2,0.25,2,28.27
0.9,563.5,318.5,122.5,7,5,0.4,2,40.66
0.86,588,294,147,7,2,0.4,2,35.48
0.79,637,343,147,7,5,0.25,4,37.26
0.9,563.5,318.5,122.5,7,5,0.4,3,33.31
0.76,661.5,416.5,122.5,7,4,0.1,1,34.14
0.79,637,343,147,7,2,0.1,1,41.68
0.9,563.5,318.5,122.5,7,4,0.4,1,35.92
0.66,759.5,318.5,220.5,3.5,3,0.1,5,14.81
0.86,588,294,147,7,3,0.25,3,32.93
0.86,588,294,147,7,4,0.25,3,28.38
0.69,735,294,220.5,3.5,4,0.4,5,16.54
0.62,808.5,367.5,220.5,3.5,3,0.4,1,17.21
0.86,588,294,147,7,5,0.1,4,25.81
0.74,686,245,220.5,3.5,2,0,0,10.9
0.82,612.5,318.5,147,7,3,0.25,3,27.76
0.79,637,343,147,7,5,0.1,5,41.26
0.64,784,343,220.5,3.5,2,0.25,3,19.87
0.69,735,294,220.5,3.5,2,0.4,4,16.81
0.62,808.5,367.5,220.5,3.5,5,0.1,2,14.24
0.82,612.5,318.5,147,7,4,0.25,2,26.72
0.9,563.5,318.5,122.5,7,5,0.4,5,37.27
0.79,637,343,147,7,3,0,0,31.27
0.71,710.5,269.5,220.5,3.5,5,0.25,2,15.32
0.64,784,343,220.5,3.5,4,0.25,5,20.19
0.82,612.5,318.5,147,7,5,0.25,5,28.14
0.76,661.5,416.5,122.5,7,3,0.4,3,38.48
0.98,514.5,294,110.25,7,2,0,0,21.33
0.76,661.5,416.5,122.5,7,2,0.25,2,36.87
0.64,784,343,220.5,3.5,5,0.1,3,19.29
0.64,784,343,220.5,3.5,3,0.1,3,19.18
0.71,710.5,269.5,220.5,3.5,2,0.1,5,14.18
0.74,686,245,220.5,3.5,5,0.1,4,13.53
0.76,661.5,416.5,122.5,7,4,0.25,4,37.05
0.62,808.5,367.5,220.5,3.5,2,0.4,2,17.36
0.76,661.5,416.5,122.5,7,4,0.1,3,34.48
0.82,612.5,318.5,147,7,2,0.25,3,28.77
0.98,514.5,294,110.25,7,2,0.1,5,25.64
0.71,710.5,269.5,220.5,3.5,3,0.25,2,15.4
0.79,637,343,147,7,5,0.1,2,42.86
0.98,514.5,294,110.25,7,3,0.4,3,33.24
0.69,735,294,220.5,3.5,4,0.1,2,13.32
0.82,612.5,318.5,147,7,5,0.1,4,25.16
0.82,612.5,318.5,147,7,3,0.25,5,26.08
0.66,759.5,318.5,220.5,3.5,4,0.1,5,14.65
0.62,808.5,367.5,220.5,3.5,2,0.4,4,17.1
0.86,588,294,147,7,3,0.4,1,30.66
0.62,808.5,367.5,220.5,3.5,4,0.25,1,15.77
